DOI,Publication Year,Authors,Article Title,Abstract,"Screening(Include=1,Exclude=0,maybe=2)","Full text check(Include=1,Exclude=0)",
10.1145/3460418.3479360,2021,"Moon S., Zhang C., Park S., Zhang H., Kim W.-S., Ko J.H.",A Sub-Milliwatt and Sub-Millisecond 3-D Gaze Estimator for Ultra Low-Power AR Applications,"The critical factors of real-Time gaze tracking are high accuracy and user-friendliness such as low latency and no run-Time calibration. Existing gaze estimator hardware designs are based on 2D regression algorithms as 2D methods have a simple computation process. However, they require multiple run-Time calibration steps, and are vulnerable to head motions. On the other hand, the 3D model-based method can maintain better accuracy than the 2D method without run-Time calibration steps, and is robust to head motions. In this paper, we aim to design the first 3D model-based gaze estimator hardware that consumes less than 1mW power and 1ms latency per frame. The simulation results based on the hardware synthesis show that the proposed design requires 172μW and 0.5ms per frame, while maintaining less than 0.9° error. © 2021 ACM.",2,,
10.1016/j.neucom.2020.07.119,2021,"Geisler D., Duchowski A.T., Kasneci E.",Predicting visual perceivability of scene objects through spatio-temporal modeling of retinal receptive fields,"Retinal processing of a visual scene is an essential step of human visual perception. Although foveal vision is linked to the visual attention, perception is by not means limited to this region. Rather, the retinal field of view ranges from 60° nasal to 107° temporal, and from 70° superior to 80° inferior. Whether a scene object is visually perceived depends on both its visual appearance as well as its retinal location. We present a framework to evaluate the visual stimulus of a scene object with regard to different types of retinal receptive fields. Driven by gaze location provided by an eye tracker, the estimated retinal response considers the visual appearance of the object, its eccentricity in the users field of view, and the capabilities at the local retinal region. A desktop experiment shows that, in additional to foveal processing, the estimated retinal response leads to a significant increase in classification accuracy in terms of whether an object is reported as perceived by the user. © 2020 Elsevier B.V.",0,,
10.1016/j.neucom.2020.07.121,2021,"Han Y., Han B., Gao X.",Human scanpath estimation based on semantic segmentation guided by common eye fixation behaviors,"To explore the dynamic process of complex human eye movement behavior, we proposed a new model to simulate human scanpath when subjects observed natural images freely. Previous methods almost focused on finding effective and advanced technology, such as machine learning or deep learning, for estimating human scanpath. In contrast, our proposed method devoted to find a new way that could use the intrinsic property of eye-tracking data between different races to guide the design of a deep network. Inspired by that, the model of human scanpath estimation was established, which based on a semantic segmentation module guided by common eye fixation behaviors between people with different cultures. The semantic segmentation module could deal with locating fixations positions and the fixations ranking problem in parallel and generate human scanpath combined with the output of common attention portions (CAP) generator. The common attention portions (CAP) generator was designed to optimize the performance of semantic segmentation module and extract the common eye fixation behaviors between people with different cultures. We evaluated the performance of our model on three public eye-tracking datasets by comparing the result generated from our model with the ground truth of scanpath produced by a new method in this work. The proposed model also achieved the encouraging performance compared with some classic and fashionable models. © 2020 Elsevier B.V.",2,,
10.1145/3409118.3475138,2021,"Bickerdt J., Sonnenberg J., Gollnick C., Kasneci E.",Geopositioned 3D areas of interest for gaze analysis,"To understand driver's gaze behavior, the gaze is usually matched to surrounding objects or static areas of interest (AOI) at fixed positions around the car. Full surround object tracking allows for an understanding of the traffic situation. However, because it requires an extensive sensor set and a lot of processing power, it's not yet broadly available in production cars. The use of static AOIs only requires the addition of eye tracking sensors. They are at fixed positions around the car and can't adapt to the environment, therefore their usefulness is limited. We propose geopositioned 3D AOIs. With adaptability and the use of a small sensor set, they combine the strengths of both methods. To test 3D AOIs' capabilities for gaze analysis, a driving simulator study with 74 participants was conducted. We show that 3D AOIs are suitable for driver's gaze analysis and a promising tool for driver intention prediction. © 2021 Association for Computing Machinery.",0,,
10.1016/j.neucom.2021.04.075,2021,"Wu J., Jiang J., Qi M., Li X.",Towards accurate estimation for visual object tracking with multi-hierarchy feature aggregation,"Many methods achieve the visual object tracking task with deep learning technologies. As the deep features of different levels contain various semantic information and functions, this paper presents a multi-hierarchy feature aggregation approach to tackle the specific issues in the tracking task, which consists of two aspects. On one hand, this paper integrates the features captured by the offline and online classifiers at the score level, which constructs complementary roles of these classifiers to enhance the stability of classification. Besides, the proposed offline classifier is continuously optimized with different levels of features to reinforce classification constraints. On the other hand, we design a butterfly attention module to promote the capacity of multi-hierarchy feature aggregation in the regression network, which aims to fuse and strengthen the multi-scale features by attending to their spatial information. It can capture more spatial contexts by utilizing the self-attention mechanism during the fusion procedure, and preserve the hierarchy of the features during the strengthening process. Extensive experiments on four public datasets, i.e., VOT2018, OTB100, NFS and LaSOT datasets, demonstrate the effectiveness of the proposed methods. © 2021 Elsevier B.V.",0,,
10.4230/LIPIcs.GIScience.2021.II.5,2021,"Alinaghi N., Kattenbeck M., Golab A., Giannopoulos I.",Will you take this turn? Gaze-based turning activity recognition during navigation,"Decision making is an integral part of wayfinding and people progressively use navigation systems to facilitate this task. The primary decision, which is also the main source of navigation error, is about the turning activity, i.e., to decide either to turn left or right or continue straight forward. The fundamental step to deal with this error, before applying any preventive approaches, e.g., providing more information, or any compensatory solutions, e.g., pre-calculating alternative routes, could be to predict and recognize the potential turning activity. This paper aims to address this step by predicting the turning decision of pedestrian wayfinders, before the actual action takes place, using primarily gaze-based features. Applying Machine Learning methods, the results of the presented experiment demonstrate an overall accuracy of 91% within three seconds before arriving at a decision point. Beyond the application perspective, our findings also shed light on the cognitive processes of decision making as reflected by the wayfinder's gaze behaviour: incorporating environmental and user-related factors to the model, results in a noticeable change with respect to the importance of visual search features in turn activity recognition. © Negar Alinaghi, Markus Kattenbeck, Antonia Golab, and Ioannis Giannopoulos; licensed under Creative Commons License CC-BY 4.0",0,,
10.3390/app11188607,2021,"Baazeem I., Al-Khalifa H., Al-Salman A.",Cognitively driven arabic text readability assessment using eye-tracking,"Using physiological data helps to identify the cognitive processing in the human brain. One method of obtaining these behavioral signals is by using eye-tracking technology. Previous cognitive psychology literature shows that readable and difficult-to-read texts are associated with certain eye movement patterns, which has recently encouraged researchers to use these patterns for readability assessment tasks. However, although it seems promising, this research direction has not been explored adequately, particularly for Arabic. The Arabic language is defined by its own rules and has its own characteristics and challenges. There is still a clear gap in determining the potential of using eye-tracking measures to improve Arabic text. Motivated by this, we present a pilot study to explore the extent to which eye-tracking measures enhance Arabic text readability. We collected the eye movements of 41 participants while reading Arabic texts to provide real-time processing of the text; these data were further analyzed and used to build several readability prediction models using different regression algorithms. The findings show an improvement in the readability prediction task, which requires further investigation. To the best of our knowledge, this work is the first study to explore the relationship between Arabic readability and eye movement patterns. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",0,,
10.1145/3478088,2021,"Islam M.R., Sakamoto S., Yamada Y., Vargo A.W., Iwata M., Iwamura M., Kise K.",Self-supervised Learning for Reading Activity Classification,"Reading analysis can relay information about user's confidence and habits and can be used to construct useful feedback. A lack of labeled data inhibits the effective application of fully-supervised Deep Learning (DL) for automatic reading analysis. We propose a Self-supervised Learning (SSL) method for reading analysis. Previously, SSL has been effective in physical human activity recognition (HAR) tasks, but it has not been applied to cognitive HAR tasks like reading. We first evaluate the proposed method on a four-class classification task on reading detection using electrooculography datasets, followed by an evaluation of a two-class classification task of confidence estimation on multiple-choice questions using eye-tracking datasets. Fully-supervised DL and support vector machines (SVMs) are used as comparisons for the proposed SSL method. The results show that the proposed SSL method is superior to the fully-supervised DL and SVM for both tasks, especially when training data is scarce. This result indicates the proposed method is the superior choice for reading analysis tasks. These results are important for informing the design of automatic reading analysis platforms. © 2021 ACM.",0,,
10.3389/frobt.2021.729832,2021,"Araya R., Sossa-Rivera J.",Automatic Detection of Gaze and Body Orientation in Elementary School Classrooms,"Detecting the direction of the gaze and orientation of the body of both teacher and students is essential to estimate who is paying attention to whom. It also provides vital clues for understanding their unconscious, non-verbal behavior. These are called “honest signals�?since they are unconscious subtle patterns in our interaction with other people that help reveal the focus of our attention. Inside the classroom, they provide important clues about teaching practices and students' responses to different conscious and unconscious teaching strategies. Scanning this non-verbal behavior in the classroom can provide important feedback to the teacher in order for them to improve their teaching practices. This type of analysis usually requires sophisticated eye-tracking equipment, motion sensors, or multiple cameras. However, for this to be a useful tool in the teacher's daily practice, an alternative must be found using only a smartphone. A smartphone is the only instrument that a teacher always has at their disposal and is nowadays considered truly ubiquitous. Our study looks at data from a group of first-grade classrooms. We show how video recordings on a teacher's smartphone can be used in order to estimate the direction of the teacher and students�?gaze, as well as their body orientation. Using the output from the OpenPose software, we run Machine Learning (ML) algorithms to train an estimator to recognize the direction of the students�?gaze and body orientation. We found that the level of accuracy achieved is comparable to that of human observers watching frames from the videos. The mean square errors (RMSE) of the predicted pitch and yaw angles for head and body directions are on average 11% lower than the RMSE between human annotators. However, our solution is much faster, avoids the tedium of doing it manually, and makes it possible to design solutions that give the teacher feedback as soon as they finish the class. © Copyright © 2021 Araya and Sossa-Rivera.",2,,
10.1007/s00521-020-05646-4,2021,"Samsami M.M., Zaheryani S.M.S., Yazdi M.","Astute, fine and fast method of iris segmentation in unlimited circumstances","Currently, Iris detection is considered as a significant module for robust biometric systems and high-speed applications such as eye tracking. Most iris segmentation models are based on machine learning algorithms or geometric methods. In this paper, we use an elliptical Hough transform to firstly detect the shape of the palpebral fissure. Then, a correlation-based circular Hough transform (we named it CCHT) is proposed to extract iris from the surrounding structures. One of the advantages of the proposed method is its ability to determine the closed-eye images, in order to remove these images in the process of eye tracking procedure. Moreover, the algorithm is simple and fast which make it suitable for on-line eye tracking. Experimental results on UBIRIS, which contains some defocused and eyelid-occluded images as non-ideal and noisy frames, indicate that the proposed method is efficient and much faster, in comparison with the previous approaches and encouraging improved accuracy on iris detection. © 2021, The Author(s), under exclusive licence to Springer-Verlag London Ltd. part of Springer Nature.",2,,
10.1177/0735633120978617,2021,"Pejić M., Savić G., Segedinac M.",Determining Gaze Behavior Patterns in On-Screen Testing,"This study proposes a software system for determining gaze patterns in on-screen testing. The system applies machine learning techniques to eye-movement data obtained from an eye-tracking device to categorize students according to their gaze behavior pattern while solving an on-screen test. These patterns are determined by converting eye movement coordinates into a sequence of regions of interest. The proposed software system extracts features from the sequence and performs clustering that groups students by their gaze pattern. To determine gaze patterns, the system contains components for communicating with an eye-tracking device, collecting and preprocessing students�?gaze data, and visualizing data using different presentation methods. This study presents a methodology to determine gaze patterns and the implementation details of the proposed software. The research was evaluated by determining the gaze patterns of 51 undergraduate students who took a general knowledge test containing 20 questions. This study aims to provide a software infrastructure that can use students�?gaze patterns as an additional indicator of their reading behaviors and their processing attention or difficulty, among other factors. © The Author(s) 2020.",1,,
10.1007/s10055-020-00478-y,2021,"Chiquet S., Martarelli C.S., Mast F.W.",Eye movements to absent objects during mental imagery and visual memory in immersive virtual reality,"The role of eye movements in mental imagery and visual memory is typically investigated by presenting stimuli or scenes on a two-dimensional (2D) computer screen. When questioned about objects that had previously been presented on-screen, people gaze back to the location of the stimuli, even though those regions are blank during retrieval. It remains unclear whether this behavior is limited to a highly controlled experimental setting using 2D screens or whether it also occurs in a more naturalistic setting. The present study aims to overcome this shortcoming. Three-dimensional (3D) objects were presented along a circular path in an immersive virtual room. During retrieval, participants were given two tasks: to visualize the objects, which they had encoded before, and to evaluate a statement about visual details of the object. We observed longer fixation duration in the area, on which the object was previously displayed, when compared to other possible target locations. However, in 89% of the time, participants fixated none of the predefined areas. On the one hand, this shows that looking at nothing may be overestimated in 2D screen-based paradigm, on the other hand, the looking at nothing effect was still present in the 3D immersive virtual reality setting, and thus it extends external validity of previous findings. Eye movements during retrieval reinstate spatial information of previously inspected stimuli. © 2020, The Author(s).",2,,
10.1109/TCDS.2019.2963073,2021,"Wu W., Sun W., Wu Q.M.J., Zhang C., Yang Y., Yu H., Lu B.-L.",Faster Single Model Vigilance Detection Based on Deep Learning,"Various reports have shown that the rate of road traffic accidents has increased due to reduced driver vigilance. Therefore, an accurate estimation of the driver's alertness status plays an important part. To estimate vigilance, we adopt a novel strategy that is a deep autoencoder with subnetwork nodes (DAESN). The proposed network model is designed not only for sparse representation but also for dimension reduction. Some hidden layers are not calculated by randomly acquired, but by replacement technologies. Unlike the traditional electrooculogram (EOG) signals, the forehead EOG (EOGF) signals are collected through forehead electrodes that do not have to surround the eyes, which has a convenient and effective practical application. The root-mean-square error (RMSE) and correlation coefficient (COR) while separately using three EOGF features improved to 0.11/0.79, 0.10/0.83, and 0.11/0.80, respectively. Implemented in an experimental environment, percentage of eye closure over time is calculated in real time through SMI eye-tracking-glasses, up to 120 frames/s. In addition, the time to extract features from the raw signal and display the prediction is only 34 ms, that is the level of the driver's fatigue can be detected quickly. The experimental study shows that the proposed model for vigilance analysis has better robustness and learning capability. © 2016 IEEE.",0,,
10.1109/ICCSCE52189.2021.9530980,2021,"Zheng L.J., Mountstephens J., Teo J.",A Comparative Investigation of Eye Fixation-based 4-Class Emotion Recognition in Virtual Reality Using Machine Learning,"Research on emotion recognition that relies purely on eye-tracking data is very limited although the usability of eye-tracking technology has great potential for emotional recognition. This paper proposes a novel approach for 4-class emotion classification using eye-tracking data solely in virtual reality (VR) with machine learning algorithms. We classify emotions into four specific classes using VR stimulus. Eye fixation data was used as the emotional-relevant feature in this investigation. A presentation of 3600 videos, which contains four different sessions, was played in VR to evoke the user's emotions. The eye-tracking data was collected and recorded using an add-on eye-tracker in the VR headset. Three classifiers were used in the experiment, which are k-nearest neighbor (KNN), random forest (RF), and support vector machine (SVM). The findings showed that RF has the best performance among the classifiers, and achieved the highest accuracy of 80.55%. © 2021 IEEE.",0,,
10.1109/INISTA52262.2021.9548444,2021,"Beriwal M., Agrawal S.",Techniques for suicidal ideation prediction: A qualitative systematic review,"Suicide is an increasingly present issue in our society whose eradication could be greatly aided by decision support technologies that can objectively identify early markers of suicidal ideation. We present our paper which reviews various existing techniques for suicidal ideation prediction. These techniques are broadly divided into two major categories - 1) Text-based indicators (which employ NLP) and 2) Behavioural indicators (like eye gaze and smile which are classified using ML algorithms). The existing techniques aim at classifying individuals as suicidal or non-suicidal using classifiers such as Random Forest, Logistic Regression, Naïve Bayes, K-Nearest Neighbour (KNN), Support Vector Machine (SVM), Multi-Layer Perceptron and XGBoost. Each technique has its advantages and disadvantages. We aim to bring all these diverse techniques to one place and try to show how each one of them is individually contributing to prediction. We also shed light on how combining these techniques and eliminating the disadvantages could lead to better suicide prediction. © 2021 IEEE.",0,,
10.1016/j.neucom.2021.03.056,2021,"Tu Z., Zhou A., Gan C., Jiang B., Hussain A., Luo B.",A novel domain activation mapping-guided network (DA-GNT) for visual tracking,"Conventional convolution neural network (CNN)-based visual trackers are easily influenced by too much background information in candidate samples. Further, extreme imbalance of foreground and background samples has a negative impact on training the classifier, whereas features learned from limited data are insufficient to train the classifier. To address these problems, we propose a novel deep neural network for visual tracking, termed the domain activation mapping guided network (DA-GNT). First, we introduce the class activation mapping with weakly supervised localization in multi-domain to identify the most discriminative regions in the bounding box and suppress the background in the positive sample. Next, to further increase the discriminability of deep feature representation, we utilize an ensemble network to achieve a kind of multi-view feature representation and a channel attention mechanism for adaptive feature selection. Finally, we propose a simple but effective data augmentation method to further increase the positive samples for our network training. Extensive experiments on two widely used benchmark datasets demonstrate the effectiveness of the proposed tracking method against many state-of-the-art trackers. The novel DA-GNT is thus posited as a potential benchmark resource for the computer vision and machine learning research community. © 2021 Elsevier B.V.",2,,
10.1145/3450508.3464606,2021,"Mania K., McNamara A., Polychronakis A.",Gaze-aware displays and interaction,"Being able to detect and to employ gaze enhances digital displays. Research on gaze-contingent or gaze-aware display devices dates back two decades. This is the time, though, that it could truly be employed for fast, low-latency gaze-based interaction and for optimization of computer graphics rendering such as in foveated rendering. Moreover, Virtual Reality (VR) is becoming ubiquitous. The widespread availability of consumer grade VR Head Mounted Displays (HMDs) transformed VR to a commodity available for everyday use. VR applications are now abundantly designed for recreation, work and communication. However, interacting with VR setups requires new paradigms of User Interfaces (UIs), since traditional 2D UIs are designed to be viewed from a static vantage point only, e.g. the computer screen. Adding to this, traditional input methods such as the keyboard and mouse are hard to manipulate when the user wears a HMD. Recently, companies such as HTC announced embedded eye-tracking in their headsets and therefore, novel, immersive 3D UI paradigms embedded in a VR setup can now be controlled via eye gaze. Gaze-based interaction is intuitive and natural the users. Tasks can be performed directly into the 3D spatial context without having to search for an out-of-view keyboard/mouse. Furthermore, people with physical disabilities, already depending on technology for recreation and basic communication, can now benefit even more from VR. This course presents timely, relevant information on how gaze-contingent displays, in general, including the recent advances of Virtual Reality (VR) eye tracking capabilities can leverage eye-tracking data to optimize the user experience and to alleviate usability issues surrounding intuitive interaction challenges. Research topics to be covered include saliency models, gaze prediction, gaze tracking, gaze direction, foveated rendering, stereo grading and 3D User Interfaces (UIs) based on gaze on any gaze-aware display technology. © 2021 Owner/Author.",0,,
