作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,归属机构,带归属机构的作者,摘要,作者关键字,索引关键字,文献类型,出版阶段,开放获取,来源出版物,EID
"Li X., Shan Y., Chen W., Wu Y., Hansen P., Perrault S.","57202025304;57222640348;57210164314;57211682110;8862059000;39362211300;","Predicting user visual attention in virtual reality with a deep learning model",2021,"Virtual Reality","25","4",,"1123","1136",,,"10.1007/s10055-021-00512-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103552320&doi=10.1007%2fs10055-021-00512-7&partnerID=40&md5=af96679c1af24a3c9ee1da006204e00d","College of Computer Science and Technology, Zhejiang University, Hangzhou, 310027, China; Department of Computer Science and Systems, Stockholm University, Stockholm, Sweden; ISTD, Singapore University of Technology and Design, Singapore, Singapore","Li, X., College of Computer Science and Technology, Zhejiang University, Hangzhou, 310027, China; Shan, Y., College of Computer Science and Technology, Zhejiang University, Hangzhou, 310027, China; Chen, W., College of Computer Science and Technology, Zhejiang University, Hangzhou, 310027, China; Wu, Y., College of Computer Science and Technology, Zhejiang University, Hangzhou, 310027, China; Hansen, P., Department of Computer Science and Systems, Stockholm University, Stockholm, Sweden; Perrault, S., ISTD, Singapore University of Technology and Design, Singapore, Singapore","Recent studies show that user’s visual attention during virtual reality museum navigation can be effectively estimated with deep learning models. However, these models rely on large-scale datasets that usually are of high structure complexity and context specific, which is challenging for nonspecialist researchers and designers. Therefore, we present the deep learning model, ALRF, to generalise on real-time user visual attention prediction in virtual reality context. The model combines two parallel deep learning streams to process the compact dataset of temporal–spatial salient features of user’s eye movements and virtual object coordinates. The prediction accuracy outperformed the state-of-the-art deep learning models by reaching record high 91.03%. Importantly, with quick parametric tuning, the model showed flexible applicability across different environments of the virtual reality museum and outdoor scenes. Implications for how the proposed model may be implemented as a generalising tool for adaptive virtual reality application design and evaluation are discussed. © 2021, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.","Deep learning model; Eye tracking; Virtual reality; Visual attention","Behavioral research; E-learning; Eye movements; Forecasting; Large dataset; Learning systems; Virtual reality; Application design; Large-scale datasets; Parametric tunings; Prediction accuracy; Salient features; State of the art; Structure complexity; Visual Attention; Deep learning",Article,"Final","",Scopus,2-s2.0-85103552320
"Wang X., Zhang J., Zhang H., Zhao S., Liu H.","57219425011;57214900779;57222558640;57222556510;57218402201;","Vision-based Gaze Estimation: A Review",2021,"IEEE Transactions on Cognitive and Developmental Systems",,,,"","",,,"10.1109/TCDS.2021.3066465","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103172218&doi=10.1109%2fTCDS.2021.3066465&partnerID=40&md5=2a953fb3a71db63522a4fcb7982a7621","school of Mechanical and Automation, State Key Lab of Robotics and Systems, Harbin Institute of Technology (Shenzhen), Shenzhen 518055, China. (e-mail: 57652761@qq.com); School of Computer Science and Engineering, Tianjin University of Technology, Tianjin 300384, China.; school of Mechanical and Automation, State Key Lab of Robotics and Systems, Harbin Institute of Technology (Shenzhen), Shenzhen 518055, China.; School of Computing, University of Portsmouth, Portsmouth PO13HE, U.K.","Wang, X., school of Mechanical and Automation, State Key Lab of Robotics and Systems, Harbin Institute of Technology (Shenzhen), Shenzhen 518055, China. (e-mail: 57652761@qq.com); Zhang, J., School of Computer Science and Engineering, Tianjin University of Technology, Tianjin 300384, China.; Zhang, H., school of Mechanical and Automation, State Key Lab of Robotics and Systems, Harbin Institute of Technology (Shenzhen), Shenzhen 518055, China.; Zhao, S., School of Computing, University of Portsmouth, Portsmouth PO13HE, U.K.; Liu, H., school of Mechanical and Automation, State Key Lab of Robotics and Systems, Harbin Institute of Technology (Shenzhen), Shenzhen 518055, China.","Eye gaze is an important natural behavior in social interaction as it delivers complex exchanges between observer and observed, by building up the geometric constraints and relation of the exchanges. These inter-person exchanges can be modeled based on gaze direction estimated using computer vision. Despite significant progresses in vision-based gaze estimation in last 10 years, it is still nontrivial since the accuracy of gaze estimation is significantly affected by such intrinsic factors as head pose variance, individual bias between optical axis and visual axis, eye blink, occlusion and image blur, degrade gaze features, lead to inaccurate gaze-involved human social interaction analysis. This paper aims to review and discuss existing methods addressing above-mentioned problems, gaze involved applications and datasets against the state-of-the-arts in vision-based gaze estimation. It also points out future research directions and challenges of gaze estimation in terms of meta learning, causal inference, disentangled representation, and social gaze behaviour for unconstrained gaze estimation. IEEE","3D Gaze Estimation; Computer Vision.; Estimation; Faces; Feature extraction; Head pose; Iris; Optical axis; Solid modeling; Three-dimensional displays; Visual axis; Visualization","Causal inferences; Future research directions; Gaze estimation; Geometric constraint; Human social interactions; Intrinsic factors; Social interactions; State of the art; Arts computing",Article,"Article in Press","",Scopus,2-s2.0-85103172218
"Varley P.A.C., Cristina S., Bonnici A., Camilleri K.P.","26649183800;49963155000;35748631300;8301303700;","As plain as the nose on your face?",2021,"VISIGRAPP 2021 - Proceedings of the 16th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications","4",,,"471","479",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103023415&partnerID=40&md5=9b5282e4647035dfe5c1ba98b377abc9","Department of Systems and Control Engineering, University of Malta, Msida, MSD, 2080, Malta","Varley, P.A.C., Department of Systems and Control Engineering, University of Malta, Msida, MSD, 2080, Malta; Cristina, S., Department of Systems and Control Engineering, University of Malta, Msida, MSD, 2080, Malta; Bonnici, A., Department of Systems and Control Engineering, University of Malta, Msida, MSD, 2080, Malta; Camilleri, K.P., Department of Systems and Control Engineering, University of Malta, Msida, MSD, 2080, Malta","We present an investigation into locating nose tips in 2D images of human faces. Our objective is conferenceroom gaze-tracking, in which a presenter can control a presentation or demonstration by gaze from a distance in the range 2m to 10m. In a first step towards this, we here consider faces in the range 150cm to 300cm. Head pose is the major contributing component of gaze direction, and nose tip position within the image of the face is a strong clue to head pose. To facilitate detection of nose tips, we have implemented a combination of two Haar cascades (one for frontal noses and one for profile noses) with a lower failure rate than existing cascades, and we have examined a number of ""hand-crafted ferns""for their potential to locate the nose tip within the nose-like regions returned by our Haar cascades. Copyright © 2021 by SCITEPRESS - Science and Technology Publications, Lda. All rights reserved.","Gaze Tracking; Haar Cascades; Head Pose; Noses","Computer graphics; Eye tracking; Failure analysis; 2D images; Failure rate; Gaze direction; Gaze tracking; Head pose; Human faces; Computer vision",Conference Paper,"Final","",Scopus,2-s2.0-85103023415
"Ajenaghughrure I.B., Da Costa Sousa S.C., Lamas D.","57205723162;54883324200;36666606200;","Psychophysiological modelling of trust in technology: Comparative analysis of psychophysiological signals",2021,"VISIGRAPP 2021 - Proceedings of the 16th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications","2",,,"161","173",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102969589&partnerID=40&md5=11b74d885ec69ed852f97d9c3bb951d6","School of Digital Technologies, Tallinn University, Narva Mnt 25, Tallinn, 10120, Estonia","Ajenaghughrure, I.B., School of Digital Technologies, Tallinn University, Narva Mnt 25, Tallinn, 10120, Estonia; Da Costa Sousa, S.C., School of Digital Technologies, Tallinn University, Narva Mnt 25, Tallinn, 10120, Estonia; Lamas, D., School of Digital Technologies, Tallinn University, Narva Mnt 25, Tallinn, 10120, Estonia","Measuring users trust with psychophysiological signals during interaction (real-time) with autonomous systems that incorporates artificial intelligence has been widely researched with several psychophysiological signals. However, it is unclear what psychophysiological is most reliable for real-time trust assessment during user’s interaction with an autonomous system. This study investigates what psychophysiological signal is most suitable for assessing trust in real-time. A within-subject four condition experiment was implemented with a virtual reality autonomous vehicle driving game that involved 31 carefully selected participants, while electroencephalogram, electrodermal activity, eletrocardiogram, eye-tracking and facial electromyogram psychophysiological signals were acquired. We applied hybrid feature selection methods on the features extracted from the psychophysiological signals. Using training and testing datasets containing only the resulting features from the feature selection methods, for each individual and multi-modal (combined) psychophysiological signals, we trained and tested six stack ensemble trust classifier models. The results of the model’s performance indicate that the EEG is most reliable, while the multimodal psychophysiological signals remain promising. Copyright © 2021 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.","Artificial intelligence; Autonomous vehicle; Machine learning; Psychophysiology; Trust","Artificial intelligence; Classification (of information); Computer graphics; Computer vision; Electroencephalography; Eye tracking; Feature extraction; Real time systems; Autonomous systems; Comparative analysis; Electrodermal activity; Feature selection methods; Hybrid feature selections; Psychophysiological signals; Training and testing; Trust in technologies; Signal analysis",Conference Paper,"Final","",Scopus,2-s2.0-85102969589
"Romaguera T.V., Romaguera L.V., Piñol D.C., Seisdedos C.R.V.","57219764017;57201665413;57219766953;52464634100;","Pupil center detection approaches: A comparative analysis",2021,"Computacion y Sistemas","25","1",,"67","81",,,"10.13053/CYS-25-1-3385","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102489031&doi=10.13053%2fCYS-25-1-3385&partnerID=40&md5=460864bfec5ad61cd5817f65cf2ec794","Universidad de Oriente, Center for Neuroscience Studies, Images and Signals Processing, Cuba; École Polytechnique de Montréal, Electrical Engineering Department, Canada; Universidad de Oriente, Department of Telecommunications, Cuba","Romaguera, T.V., Universidad de Oriente, Center for Neuroscience Studies, Images and Signals Processing, Cuba; Romaguera, L.V., École Polytechnique de Montréal, Electrical Engineering Department, Canada; Piñol, D.C., Universidad de Oriente, Department of Telecommunications, Cuba; Seisdedos, C.R.V., Universidad de Oriente, Center for Neuroscience Studies, Images and Signals Processing, Cuba","In the last decade, the development of technologies and tools for eye tracking has been a constantly growing area. Detecting the center of the pupil using image processing techniques has been an essential step in this process. A large number of techniques have been proposed for pupil center detection using both traditional image processing and machine learning-based methods. Despite the large number of methods proposed, no comparative work on their performance was found, using the same images and performance metrics. In this work, we aim at comparing four of the most frequently cited traditional methods for pupil center detection in terms of accuracy, robustness, and computational cost. These methods are based on the circular Hough transform, ellipse fitting, Daugman's integro-differential operator and radial symmetry transform. The comparative analysis was performed with 800 infrared images from the CASIAIrisV3 and CASIA-IrisV4 databases containing various types of disturbances. The best performance was obtained by the method based on the radial symmetry transform with an accuracy and average robustness higher than 94%. The shortest processing time, obtained with the ellipse fitting method, was 0.06 s. © 2021 Instituto Politecnico Nacional. All rights reserved.","Ellipse fitting; Hough Daugman; Pupil detection; Radial symmetry",,Article,"Final","",Scopus,2-s2.0-85102489031
"Krishnan S., Amudha J., Tejwani S.","57222997680;35766448700;55988859900;","Gaze Fusion-Deep Neural Network Model for Glaucoma Detection",2021,"Communications in Computer and Information Science","1366",,,"42","53",,,"10.1007/978-981-16-0419-5_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102276918&doi=10.1007%2f978-981-16-0419-5_4&partnerID=40&md5=883e0113ea30be750a0f2d3e809c7f1f","Department of Computer Science and Engineering, Amrita School of Engineering, Bengaluru, Amrita Vishwa Vidyapeetham, Bangalore, India; Narayana Nethralaya, Bommasandra, Bengaluru, India","Krishnan, S., Department of Computer Science and Engineering, Amrita School of Engineering, Bengaluru, Amrita Vishwa Vidyapeetham, Bangalore, India; Amudha, J., Department of Computer Science and Engineering, Amrita School of Engineering, Bengaluru, Amrita Vishwa Vidyapeetham, Bangalore, India; Tejwani, S., Narayana Nethralaya, Bommasandra, Bengaluru, India","The proposed system, Gaze Fusion - Deep Neural Network Model (GFDM) has utilized transfer learning approach to discriminate subject’s eye tracking data in the form of fusion map into two classes: glaucoma and normal. We have fed eye tracking data in the form of fusion maps of different participants to Deep Neural Network (DNN) model which is pretrained with ImageNet weights. The experimental results of the GFDM show that fusion map dissimilar to pretrained model’s dataset can give better understanding of glaucoma. The model also show the part of the screen where participants has the difficulty in viewing. GFDM has compared with traditional machine learning models such as Support Vector Classifier, Decision Tree classifier and ensemble classifier and shown that the proposed model outperforms other classifiers. The model has Area Under ROC Curve (AUC) score 0.75. The average sensitivity of correctly identifying glaucoma patients is 100% with specificity value 83%. © 2021, Springer Nature Singapore Pte Ltd.","Deep neural network; Eye tracking; Fusion map; Glaucoma; Transfer learning","Decision trees; Deep learning; Deep neural networks; Eye tracking; Heuristic algorithms; Learning algorithms; Learning systems; Ophthalmology; Transfer learning; Area under roc curve (AUC); Average sensitivities; Decision tree classifiers; Ensemble classifiers; Glaucoma detection; Machine learning models; Neural network model; Support vector classifiers; Neural networks",Conference Paper,"Final","",Scopus,2-s2.0-85102276918
"Lu Y., Wang Y., Xin Y., Wu D., Lu G.","57212483262;57221296847;57215128937;57215128978;55872294200;","Unsupervised Gaze: Exploration of Geometric Constraints for 3D Gaze Estimation",2021,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12573 LNCS",,,"121","133",,,"10.1007/978-3-030-67835-7_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101602875&doi=10.1007%2f978-3-030-67835-7_11&partnerID=40&md5=d14dd2caf1b26a176b82c14b1f79c6b3","Intelligent Vision and Sensing Lab, Rochester Institute of Technology, Rochester, United States; Tecent Deep Sea Lab, Shenzhen, China","Lu, Y., Intelligent Vision and Sensing Lab, Rochester Institute of Technology, Rochester, United States; Wang, Y., Intelligent Vision and Sensing Lab, Rochester Institute of Technology, Rochester, United States; Xin, Y., Tecent Deep Sea Lab, Shenzhen, China; Wu, D., Tecent Deep Sea Lab, Shenzhen, China; Lu, G., Intelligent Vision and Sensing Lab, Rochester Institute of Technology, Rochester, United States","Eye gaze estimation can provide critical evidence for people attention, which has extensive applications on cognitive science and computer vision areas, such as human behavior analysis and fake user identification. Existing typical methods mostly place the eye-tracking sensors directly in front of the eyeballs, which is hard to be utilized in the wild. And recent learning-based methods require prior ground truth annotations of gaze vector for training. In this paper, we propose an unsupervised learning-based method for estimating the eye gaze in 3D space. Building on top of the existing unsupervised approach to regress shape parameters and initialize the depth, we propose to apply geometric spectral photometric consistency constraint and spatial consistency constraints across multiple views in video sequences to refine the initial depth values on the detected iris landmark. We demonstrate that our method is able to learn gaze vector in the wild scenes more robust without ground truth gaze annotations or 3D supervision, and show our system leads to a competitive performance compared with existing supervised methods. © 2021, Springer Nature Switzerland AG.","3D gaze estimation; Geometric constraints; Unsupervised learning","Behavioral research; Learning systems; Competitive performance; Consistency constraints; Eye-tracking sensors; Geometric constraint; Human behavior analysis; Learning-based methods; Unsupervised approaches; User identification; Eye tracking",Conference Paper,"Final","",Scopus,2-s2.0-85101602875
"Zhang L., Zhang X., Xu M., Shao L.","35231925400;35232030000;55703591000;55643855000;","Massive-Scale Aerial Photo Categorization by Cross-Resolution Visual Perception Enhancement",2021,"IEEE Transactions on Neural Networks and Learning Systems",,,,"","",,,"10.1109/TNNLS.2021.3055548","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100933709&doi=10.1109%2fTNNLS.2021.3055548&partnerID=40&md5=28c2444de3939af39b1af8406754e51c","College of Computer Science and Artificial Intelligence, Wenzhou University, Wenzhou 325035, China.; College of Computer Science and Artificial Intelligence, Wenzhou University, Wenzhou 325035, China (e-mail: zhangxiaoqinnan@gmail.com); Center for Interdisciplinary Information Science Research, Zhengzhou University, Zhengzhou 450000, China.; Inception Institute of Artificial Intelligence, Abu Dhabi, UAE.","Zhang, L., College of Computer Science and Artificial Intelligence, Wenzhou University, Wenzhou 325035, China.; Zhang, X., College of Computer Science and Artificial Intelligence, Wenzhou University, Wenzhou 325035, China (e-mail: zhangxiaoqinnan@gmail.com); Xu, M., Center for Interdisciplinary Information Science Research, Zhengzhou University, Zhengzhou 450000, China.; Shao, L., Inception Institute of Artificial Intelligence, Abu Dhabi, UAE.","Categorizing aerial photographs with varied weather/lighting conditions and sophisticated geomorphic factors is a key module in autonomous navigation, environmental evaluation, and so on. Previous image recognizers cannot fulfill this task due to three challenges: 1) localizing visually/semantically salient regions within each aerial photograph in a weakly annotated context due to the unaffordable human resources required for pixel-level annotation; 2) aerial photographs are generally with multiple informative attributes (e.g., clarity and reflectivity), and we have to encode them for better aerial photograph modeling; and 3) designing a cross-domain knowledge transferal module to enhance aerial photograph perception since multiresolution aerial photographs are taken asynchronistically and are mutually complementary. To handle the above problems, we propose to optimize aerial photograph's feature learning by leveraging the low-resolution spatial composition to enhance the deep learning of perceptual features with a high resolution. More specifically, we first extract many BING-based object patches (Cheng et al., 2014) from each aerial photograph. A weakly supervised ranking algorithm selects a few semantically salient ones by seamlessly incorporating multiple aerial photograph attributes. Toward an interpretable aerial photograph recognizer indicative to human visual perception, we construct a gaze shifting path (GSP) by linking the top-ranking object patches and, subsequently, derive the deep GSP feature. Finally, a cross-domain multilabel SVM is formulated to categorize each aerial photograph. It leverages the global feature from low-resolution counterparts to optimize the deep GSP feature from a high-resolution aerial photograph. Comparative results on our compiled million-scale aerial photograph set have demonstrated the competitiveness of our approach. Besides, the eye-tracking experiment has shown that our ranking-based GSPs are over 92&#x0025; consistent with the real human gaze shifting sequences. IEEE","Aerial photograph; cross domain; Image recognition; Kernel; machine learning; perception enhancement; ranking; Semantics; Support vector machines; Training; transfer learning; Visual perception; Visualization","Air navigation; Antennas; Deep learning; Eye tracking; Image enhancement; Photographic equipment; Vision; Aerial Photographs; Autonomous navigation; Environmental evaluation; Human visual perception; Informative attributes; Perceptual feature; Spatial composition; Visual perception; Aerial photography",Article,"Article in Press","",Scopus,2-s2.0-85100933709
"Amadori P.V., Fischer T., Demiris Y.","56703112800;57190126084;6506125343;","HammerDrive: A Task-Aware Driving Visual Attention Model",2021,"IEEE Transactions on Intelligent Transportation Systems",,,,"","",,,"10.1109/TITS.2021.3055120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100869852&doi=10.1109%2fTITS.2021.3055120&partnerID=40&md5=265f423a47285f84b96887e03323c2d0","Personal Robotics Laboratory, Department of Electrical and Electronic Engineering, Imperial College London, London SW7 2BU, U.K. (e-mail: p.amadori@imperial.ac.uk); Personal Robotics Laboratory, Department of Electrical and Electronic Engineering, Imperial College London, London SW7 2BU, U.K..","Amadori, P.V., Personal Robotics Laboratory, Department of Electrical and Electronic Engineering, Imperial College London, London SW7 2BU, U.K. (e-mail: p.amadori@imperial.ac.uk); Fischer, T., Personal Robotics Laboratory, Department of Electrical and Electronic Engineering, Imperial College London, London SW7 2BU, U.K..; Demiris, Y., Personal Robotics Laboratory, Department of Electrical and Electronic Engineering, Imperial College London, London SW7 2BU, U.K..","We introduce HammerDrive, a novel architecture for task-aware visual attention prediction in driving. The proposed architecture is learnable from data and can reliably infer the current focus of attention of the driver in real-time, while only requiring limited and easy-to-access telemetry data from the vehicle. We build the proposed architecture on two core concepts: 1) driving can be modeled as a collection of sub-tasks (maneuvers), and 2) each sub-task affects the way a driver allocates visual attention resources, i.e., their eye gaze fixation. HammerDrive comprises two networks: a hierarchical monitoring network of forward-inverse model pairs for sub-task recognition and an ensemble network of task-dependent convolutional neural network modules for visual attention modeling. We assess the ability of HammerDrive to infer driver visual attention on data we collected from 20 experienced drivers in a virtual reality-based driving simulator experiment. We evaluate the accuracy of our monitoring network for sub-task recognition and show that it is an effective and light-weight network for reliable real-time tracking of driving maneuvers with above 90&#x0025; accuracy. Our results show that HammerDrive outperforms a comparable state-of-the-art deep learning model for visual attention prediction on numerous metrics with ~13&#x0025; improvement for both Kullback-Leibler divergence and similarity, and demonstrate that task-awareness is beneficial for driver visual attention prediction. Crown","Advanced driver-assistance systems; Computational modeling; Computer architecture; HAMMER.; Predictive models; Real-time systems; simulated driving; Task analysis; task recognition; Vehicles; visual attention; Visualization","Convolutional neural networks; Deep learning; Forecasting; Inverse problems; Network architecture; Virtual reality; Driving simulator; Focus of Attention; Kullback Leibler divergence; Monitoring network; Novel architecture; Proposed architectures; Real time tracking; Visual attention model; Behavioral research",Article,"Article in Press","",Scopus,2-s2.0-85100869852
"De Cock L., Van de Weghe N., Ooms K., Vanhaeren N., Ridolfi M., De Poorter E., De Maeyer P.","57204432138;8973773700;35176370900;57196039159;57193089591;23396863400;8973773500;","Taking a closer look at indoor route guidance; usability study to compare an adapted and non-adapted mobile prototype",2021,"Spatial Cognition and Computation",,,,"","",,1,"10.1080/13875868.2021.1885411","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100860514&doi=10.1080%2f13875868.2021.1885411&partnerID=40&md5=eb8f19adf5bc899cbca5ff42f2631805","Department of Geography, Ghent University, Ghent, Belgium; IDLab, Department of Information Technology, Ghent University - Imec, Ghent, Belgium","De Cock, L., Department of Geography, Ghent University, Ghent, Belgium; Van de Weghe, N., Department of Geography, Ghent University, Ghent, Belgium; Ooms, K., Department of Geography, Ghent University, Ghent, Belgium; Vanhaeren, N., Department of Geography, Ghent University, Ghent, Belgium; Ridolfi, M., IDLab, Department of Information Technology, Ghent University - Imec, Ghent, Belgium; De Poorter, E., IDLab, Department of Information Technology, Ghent University - Imec, Ghent, Belgium; De Maeyer, P., Department of Geography, Ghent University, Ghent, Belgium","As indoor wayfinding can be very challenging, adapted systems, which adapt the route instruction type, are being developed to facilitate more supportive indoor route guidance. In this study, such a system has been developed based on the results of an online survey. This adapted system was compared with a non-adapted system by use of eye tracking, position tracking, an orientation test and a questionnaire. The results revealed that using symbols instead of photos reduced the imposed cognitive load, while using 3D-simulations instead of photos improved the environmental awareness. This resulted in less wayfinding errors with the adapted system, compared to the non-adapted system. Therefore, the present study provides additional evidence on the benefits of adapted systems for indoor route guidance. © 2021 Taylor & Francis.","Adapted route guidance; eye tracking; indoor wayfinding; route instruction type; UWB",,Article,"Article in Press","",Scopus,2-s2.0-85100860514
"Li T.-H., Suzuki H., Ohtake Y.","57218311579;36068450200;7005292455;","Visualization of user's attention on objects in 3d environment using only eye tracking glasses",2021,"Journal of Computational Design and Engineering","7","2",,"228","237",,2,"10.1093/JCDE/QWAA019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100857330&doi=10.1093%2fJCDE%2fQWAA019&partnerID=40&md5=a3a1835bb96e336bd6474682b945abf6","Department of Precision Engineering, The University of Tokyo, Tokyo, 113-8656, Japan","Li, T.-H., Department of Precision Engineering, The University of Tokyo, Tokyo, 113-8656, Japan; Suzuki, H., Department of Precision Engineering, The University of Tokyo, Tokyo, 113-8656, Japan; Ohtake, Y., Department of Precision Engineering, The University of Tokyo, Tokyo, 113-8656, Japan","Eye tracking technology is widely applied to detect user's attention in a 2D field, such as web page design, package design, and shooting games. However, because our surroundings primarily consist of 3D objects, applications will be expanded if there is an effective method to obtain and display user's 3D gaze fixation. In this research, a methodology is proposed to demonstrate the user's 3D gaze fixation on a digital model of a scene using only a pair of eye tracking glasses. The eye tracking glasses record user's gaze data and scene video. Thus, using image-based 3D reconstruction, a 3D model of the scene can be reconstructed from the frame images; simultaneously, the transformation matrix of each frame image can be evaluated to find 3D gaze fixation on the 3D model. In addition, a method that demonstrates multiple users' 3D gaze fixation on the same digital model is presented to analyze gaze distinction between different subjects. With this preliminary development, this approach shows potential to be applied to a larger environment and conduct a more reliable investigation. © 2020 Society for Computational Design and Engineering. All rights reserved.","3D gaze visualization; Eye tracking technology; Gaze distinction; Image-based 3D reconstruction","3D modeling; Eye tracking; Glass; Linear transformations; Object tracking; Websites; 3-D environments; 3D reconstruction; Digital model; Eye tracking technologies; Multiple user; Package designs; Transformation matrices; Web page design; Three dimensional computer graphics; digital image; electronic equipment; eye; image analysis; three-dimensional modeling; tracking; visualization; detection method; experimental study; methodology; model; perception",Article,"Final","",Scopus,2-s2.0-85100857330
"Hijazi H., Couceiro R., Castelhano J., De Carvalho P., Castelo-Branco M., Madeira H.","57221983221;23501459000;55470748800;26535630100;6701423628;7004929011;","Intelligent biofeedback augmented content comprehension (tellback)",2021,"IEEE Access","9",,"9352725","28393","28406",,,"10.1109/ACCESS.2021.3058664","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100836531&doi=10.1109%2fACCESS.2021.3058664&partnerID=40&md5=cd0a87a14948e745081d42f92173be2f","Centre of Informatics and Systems, University of Coimbra (CISUC), Coimbra, 3000-214, Portugal; Coimbra Institute for Biomedical Imaging and Translational Research (CIBIT), Institute of Nuclear Sciences Applied to Health (ICNAS), University of Coimbra, Coimbra, 3000-214, Portugal","Hijazi, H., Centre of Informatics and Systems, University of Coimbra (CISUC), Coimbra, 3000-214, Portugal; Couceiro, R., Centre of Informatics and Systems, University of Coimbra (CISUC), Coimbra, 3000-214, Portugal; Castelhano, J., Coimbra Institute for Biomedical Imaging and Translational Research (CIBIT), Institute of Nuclear Sciences Applied to Health (ICNAS), University of Coimbra, Coimbra, 3000-214, Portugal; De Carvalho, P., Centre of Informatics and Systems, University of Coimbra (CISUC), Coimbra, 3000-214, Portugal; Castelo-Branco, M., Coimbra Institute for Biomedical Imaging and Translational Research (CIBIT), Institute of Nuclear Sciences Applied to Health (ICNAS), University of Coimbra, Coimbra, 3000-214, Portugal; Madeira, H., Centre of Informatics and Systems, University of Coimbra (CISUC), Coimbra, 3000-214, Portugal","Assessing comprehension difficulties requires the ability to assess cognitive load. Changes in cognitive load induced by comprehension difficulties could be detected with an adequate time resolution using different biofeedback measures (e.g., changes in the pupil diameter). However, identifying the Spatiooral sources of content comprehension difficulties (i.e., when, and where exactly the difficulty occurs in content regions) with a fine granularity is a big challenge that has not been explicitly addressed in the state-of-the-art. This paper proposes and evaluates an innovative approach named Intelligent BiofeedbackAugmented Content Comprehension (TellBack) to explicitly address this challenge. The goal is to autonomously identify regions of digital content that cause user's comprehension difficulty, opening the possibility to provide real-time comprehension support to users. TellBack is based on assessing the cognitive load associated with content comprehension through non-intrusive cheap biofeedback devices that acquire measures such as pupil response or Heart Rate Variability (HRV). To identify when exactly the difficulty in comprehension occurs, physiological manifestations of the Autonomic Nervous System (ANS) such as the pupil diameter variability and the modulation of HRV are exploited, whereas the fine spatial resolution (i.e., the region of content where the user is looking at) is provided by eye-tracking. The evaluation results of this approach show an accuracy of 83.00% ± 0.75 in classifying regions of content as difficult or not difficult using Support Vector Machine (SVM), and precision, recall, and micro F1-score of 0.89, 0.79, and 0.83, respectively. Results obtained with 4 other classifiers, namely Random Forest, k-nearest neighbor, Decision Tree, and Gaussian Naive Bayes, showed a slightly lower precision. TellBack outperforms the state-of-the-art in precision & recall by 23% and 17% respectively. © 2013 IEEE.","Biomedical measurement; Cognitive load; Content comprehension; Eye-tracking; Heart rate variability; Machine learning","Biofeedback; Decision trees; Eye tracking; Nearest neighbor search; Autonomic nervous system; Digital contents; Evaluation results; Heart rate variability; Innovative approaches; K-nearest neighbors; Spatial resolution; State of the art; Support vector machines",Article,"Final","",Scopus,2-s2.0-85100836531
