"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Interpretation of Depression Detection Models via Feature Selection Methods","S. M. Alghowinem; T. Gedeon; R. Goecke; J. Cohn; G. Parker","Media Lab, Massachusetts Institute of Technology, 2167 Cambridge, Massachusetts, United States, (e-mail: sharifah@mit.edu); College of Engineering and Computer Science, Australian National University, 2219 Canberra, Australian Capital Territory, Australia, (e-mail: tom.gedeon@anu.edu.au); Faculty of Education, Science, Technology and Mathematics, University of Canberra, 2234 Canberra, Australian Capital Territory, Australia, (e-mail: roland.goecke@ieee.org); Department of Psychology, University of Pittsburgh, 6614 Pittsburgh, Pennsylvania, United States, (e-mail: jeffcohn@pitt.edu); School of Psychiatry, University of New South Wales, 7800 Sydney, New South Wales, Australia, (e-mail: g.parker@unsw.edu.au)","IEEE Transactions on Affective Computing","","2020","PP","99","1","1","Given the prevalence of depression worldwide and its major impact on society, several studies employed artificial intelligence modelling to automatically detect and assess depression. However, interpretation of these models and cues are rarely discussed in detail in the AI community, but have received increased attention lately. In this study, we aim to analyse the commonly selected features using a proposed framework of several feature selection methods and their effect on the classification results, which will provide an interpretation of the depression detection model. The developed framework aggregates and selects the most promising features for modelling depression detection from 38 feature selection algorithms of different categories. Using three real-world depression datasets, 902 behavioural cues were extracted from speech behaviour, speech prosody, eye movement and head pose. To verify the generalisability of the proposed framework, we applied the entire process to depression datasets individually and when combined. The results from the proposed framework showed that speech behaviour features (e.g. pauses) are the most distinctive features of the depression detection model. From the speech prosody modality, the strongest feature groups were F0, HNR, formants, and MFCC, while for the eye activity modality they were left-right eye movement and gaze direction, and for the head modality it was yaw head movement. Modelling depression detection using the selected features (even though there are only 9 features) outperformed using all features in all the individual and combined datasets. Our feature selection framework did not only provide an interpretation of the model, but was also able to produce a higher accuracy of depression detection with a small number of features in varied datasets. This could help to reduce the processing time needed to extract features and creating the model.","1949-3045","","10.1109/TAFFC.2020.3035535","National Institutes of Health(grant numbers:MH51435, MH65376, and MH096951); Australian Research Councils Discovery Projects(grant numbers:DP190101294); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9253541","depression detection;multimodal analysis;feature selection;datasets generalisation","Feature extraction;Depression;Biological system modeling;Deep learning;Analytical models;Australia;Stability analysis","","","","","","","IEEE","10 Nov 2020","","","IEEE","IEEE Early Access Articles"
"Towards Robust Auto-calibration for Head-mounted Gaze Tracking Systems","M. Liu; Y. F. Li; H. Liu","City University of Hong Kong,Department of Mechanical Engineering,Kowloon,Hong Kong; City University of Hong Kong,Department of Mechanical Engineering,Kowloon,Hong Kong; Central China Normal University,National Engineering Research Center for E-Learning,Wuhan,Hubei Province,China","2020 IEEE International Conference on Mechatronics and Automation (ICMA)","26 Oct 2020","2020","","","588","593","Removing explicit user calibration is indeed an appealing goal for gaze tracking systems. In this paper, a novel auto-calibration method is proposed to achieve the 3D point of regard (PoR) prediction for the head-mounted gaze tracker. Our method chooses an RGBD sensor as the scene camera to capture 3D structures of the environment and treats salient regions as possible 3D calibration targets. In order to improve efficiency, the bag of words (BoW) algorithm is applied to calculate scene images' similarity and eliminate redundant maps. After elimination, the translation relationship between eye cameras and the scene camera can be determined by uniting calibration targets with gaze vectors, and 3D gaze points are obtained by transformed gaze vectors and the point cloud of environment. The experiment results indicate that our method achieves effective performance on 3D gaze estimation for head-mounted gaze trackers, which can promote engineering applications of human-computer interaction technology in many areas.","2152-744X","978-1-7281-6416-8","10.1109/ICMA49215.2020.9233571","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9233571","head-mounted gaze tracker;auto-calibration;3D gaze estimation;human-computer interaction","Three-dimensional displays;Target tracking;Estimation;Gaze tracking;Cameras;Prediction algorithms;Calibration","calibration;cameras;gaze tracking;image colour analysis;image sensors;vectors","head-mounted gaze tracking systems;explicit user calibration;autocalibration method;head-mounted gaze tracker;scene camera;calibration targets;eye cameras;3D gaze point estimation;gaze vector transformation;3D point of regard prediction;3D PoR prediction;RGBD sensor;bag of words algorithm;BoW algorithm;human-computer interaction technology","","","","20","","26 Oct 2020","","","IEEE","IEEE Conferences"
"Estimating a Driver's Gaze Point by a Remote Spherical Camera","Z. Zhao; S. Li; T. Kosaki","Hiroshima City Universityd,Department of Systems Engineering,Hiroshima,JAPAN; Hiroshima City Universityd,Department of Systems Engineering,Hiroshima,JAPAN; Hiroshima City Universityd,Department of Systems Engineering,Hiroshima,JAPAN","2020 IEEE International Conference on Mechatronics and Automation (ICMA)","26 Oct 2020","2020","","","599","604","In this paper we propose a novel method of detecting a driver's gaze point by a single remote spherical camera. A spherical camera is fixed at the upside of the windshield of a vehicle so that it can observes outside scenes and an inside driver simultaneously. We propose a simplified model of a driver's gaze point detection under this setting-up by approximating the gaze direction vector as that starting from the viewpoint of the spherical camera by omitting the distance of the driver from the spherical camera. Furthermore, two algorithms are proposed and evaluated: one is gaze point estimation based on the geometric model using OpenFace [1], and the other is to use a neural network, which uses the gaze vector and head pose parameters obtained from OpenFace as input of the neural network, to estimate the gaze point in the spherical image. As shown in the experimental results, using a neural network to compensate the measuring errors of OpenFace can achieves a much better result.","2152-744X","978-1-7281-6416-8","10.1109/ICMA49215.2020.9233793","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9233793","Gaze Estimation;Spherical Camera","","cameras;driver information systems;gaze tracking;neural nets;pose estimation","neural network;gaze vector;spherical image;driver;single remote spherical camera;gaze direction vector;gaze point estimation;vehicle windshield;head pose parameters;OpenFace","","","","12","","26 Oct 2020","","","IEEE","IEEE Conferences"
"A Simple Model of Reading Eye Movement Based on Deep Learning","Y. Wang; X. Wang; Y. Wu","Graduate School, Xi’an International Studies University, Xi’an, China; Graduate School, Xi’an International Studies University, Xi’an, China; Graduate School, Xi’an International Studies University, Xi’an, China","IEEE Access","2 Nov 2020","2020","8","","193757","193767","At present, an increasing amount of research is being conducted on human cognitive behaviour, and reading eye-movement modelling is a research hotspot in cognitive linguistics. However, existing reading eye-movement models are complicated and require a large number of hand-crafted features. To address these issues, this paper improves upon the fixation granularity processing mode and the regression processing mode of the traditional reading eye-movement models and proposes a reading eye-movement fixation sequence labelling method to construct a simpler model. The proposed model is based on a multi-input deep-learning neural network, which takes advantage of deep learning to reduce the number of required hand-crafted features and integrates knowledge from the field of cognitive psychology to increase its accuracy. To meet the data-size requirements of the deep-learning model, this paper also proposes a reading eye-movement data augmentation method. The experimental results show that the proposed method can describe the actual process of reading eye-movement intuitively and that the simple reading eye-movement models based on this method can obtain a similar accuracy with existing models by using fewer hand-crafted features.","2169-3536","","10.1109/ACCESS.2020.3033382","Social Science Foundation of Shaanxi Province(grant numbers:2019M001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9238389","Eye-movement model;deep learning;sequence labelling;cognitive computing","Hidden Markov models;Computational modeling;Predictive models;Data models;Labeling;Task analysis;Psychology","cognition;eye;gaze tracking;learning (artificial intelligence);neural nets;psychology","data-size requirements;reading eye-movement data augmentation method;eye movement;deep learning;human cognitive behaviour;cognitive linguistics;fixation granularity processing mode;regression processing mode;reading eye-movement fixation sequence labelling method;deep-learning neural network;cognitive psychology","","","","36","CCBY","23 Oct 2020","","","IEEE","IEEE Journals"
"NeuroIV: Neuromorphic Vision Meets Intelligent Vehicle Towards Safe Driving With a New Database and Baseline Evaluations","G. Chen; F. Wang; W. Li; L. Hong; J. Conradt; J. Chen; Z. Zhang; Y. Lu; A. Knoll","School of Automotive Studies, Tongji University, Shanghai 200092, China, also with the State Key Laboratory of Advanced Design and Manufacturing for Vehicle Body, Changsha 410012, China, and also with the Department of Informatics, Technical University of Munich, 80333 Munich, Germany (e-mail: tj_autodrive@hotmail.com); School of Automotive Studies, Tongji University, Shanghai 200092, China.; School of Automotive Studies, Tongji University, Shanghai 200092, China.; School of Transportation, Shandong University of Science and Technology, Qingdao 266510, China.; Department of Computational Science and Technology, KTH Royal Institute of Technology, 114 28 Stockholm, Sweden.; School of Automotive Studies, Tongji University, Shanghai 200092, China.; School of Automotive Studies, Tongji University, Shanghai 200092, China.; School of Automotive Studies, Tongji University, Shanghai 200092, China.; Department of Informatics, Technical University of Munich, 80333 Munich, Germany.","IEEE Transactions on Intelligent Transportation Systems","","2020","PP","99","1","13","Neuromorphic vision sensors such as the Dynamic and Active-pixel Vision Sensor (DAVIS) using silicon retina are inspired by biological vision, they generate streams of asynchronous events to indicate local log-intensity brightness changes. Their properties of high temporal resolution, low-bandwidth, lightweight computation, and low-latency make them a good fit for many applications of motion perception in the intelligent vehicle. However, as a younger and smaller research field compared to classical computer vision, neuromorphic vision is rarely connected with the intelligent vehicle. For this purpose, we present three novel datasets recorded with DAVIS sensors and depth sensor for the distracted driving research and focus on driver drowsiness detection, driver gaze-zone recognition, and driver hand-gesture recognition. To facilitate the comparison with classical computer vision, we record the RGB, depth and infrared data with a depth sensor simultaneously. The total volume of this dataset has 27360 samples. To unlock the potential of neuromorphic vision on the intelligent vehicle, we utilize three popular event-encoding methods to convert asynchronous event slices to event-frames and adapt state-of-the-art convolutional architectures to extensively evaluate their performances on this dataset. Together with qualitative and quantitative results, this work provides a new database and baseline evaluations named NeuroIV in cross-cutting areas of neuromorphic vision and intelligent vehicle.","1558-0016","","10.1109/TITS.2020.3022921","National Natural Science Foundation of China(grant numbers:61906138); State Key Laboratory of Advanced Design and Manufacturing for Vehicle Body Open Project(grant numbers:31815005); European Unions Horizon 2020 Framework Programme for Research and Innovation Human Brain Project SGA3(grant numbers:945539); Shanghai AI Innovation Development Program 2018; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9234108","Neuromorphic vision;distracted driving;advanced driver assistance system;database and baseline evaluations;event encoding;deep learning.","Neuromorphics;Vision sensors;Intelligent sensors;Intelligent vehicles;Cameras","","","","1","","","IEEE","20 Oct 2020","","","IEEE","IEEE Early Access Articles"
"Do You Move Unconsciously? Accuracy of Social Distance and Line of Sight Between a Virtual Robot Head and Humans","T. Minegishi; H. Osawa",University of Tsukuba; University of Tsukuba,"2020 29th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)","14 Oct 2020","2020","","","503","508","In this paper, we examine the effectiveness of the social distance between a virtual agent and users, and the gaze instruction using a display that can be viewed stereoscopically without using any wearable devices. An actual robot cannot always maintain an appropriate interpersonal distance, through nonverbal gestures owing to its limited range of motion. Because large movements may harm humans, the nonverbal gestures of robots are limited in the real world. In this work, 14 participants were asked how far they wanted to move from a robot posing as a museum guide agent. They were also asked to identify the point at which they felt the agent was gazing. There was a significant distance between the initial position and the position to which the participants moved in the first task under two-dimensional (2D) and three-dimensional (3D) scenarios. The participants moved a significant distance in the first task. In the gaze estimation task, however, the error between the 3D and 2D evaluations was significantly lesser, at a point far from the agent.","1944-9437","978-1-7281-6075-7","10.1109/RO-MAN47096.2020.9223506","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9223506","","","gesture recognition;human computer interaction;human-robot interaction;mobile robots;museums;virtual reality","gaze estimation task;museum guide agent;nonverbal gestures;appropriate interpersonal distance;actual robot;wearable devices;gaze instruction;virtual agent;virtual robot head;social distance","","","","13","","14 Oct 2020","","","IEEE","IEEE Conferences"
"Euclidean Distance based Loss Function for Eye-Gaze Estimation","B. Sung Lee; R. Phattharaphon; S. Yean; J. Liu; M. Shakya","Nanyang Technological University,School of Computer Science and Engineering,Singapore; Kasetsart University,Department of Computer Engineering,Thailand; Nanyang Technological University,School of Computer Science and Engineering,Singapore; Nanyang Technological University,School of Computer Science and Engineering,Singapore; Nanyang Technological University,School of Computer Science and Engineering,Singapore","2020 IEEE Sensors Applications Symposium (SAS)","12 Oct 2020","2020","","","1","5","The following topics are dealt with: Internet of Things; wireless sensor networks; sensor fusion; microsensors; diseases; vibrations; microfabrication; cameras; learning (artificial intelligence); and convolutional neural nets.","","978-1-7281-4842-7","10.1109/SAS48726.2020.9220051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9220051","Eye Gaze;Loss function;Cross-entropy;Euclidean distance;Convolutional Neural Network","","diseases;Internet of Things;microsensors;sensor fusion;wireless sensor networks","Internet of Things;wireless sensor networks;sensor fusion;microsensors;diseases;vibrations;microfabrication;cameras;learning (artificial intelligence);convolutional neural nets","","1","","17","","12 Oct 2020","","","IEEE","IEEE Conferences"
"Cornea Radius Calibration for Remote 3D Gaze Tracking Systems","J. Chi; D. Wang; N. Lu; Z. Wang","School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, China; School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, China; School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, China; School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing, China","IEEE Access","21 Oct 2020","2020","8","","187634","187647","Cornea radius estimation is a key technique for 3D gaze estimation in the single-camera 3D gaze tracking system. Traditional methods with one-camera-one-light-source systems or one-camera-two-light-source systems cannot achieve 3D gaze estimation. The 3D line-of-sight can be estimated only when the cornea radius is pre-calibrated by the user. A cornea radius calibration method based on the iris radius is proposed in this paper for 3D gaze estimation in remote one-camera-two-light-source systems. We first calibrate the iris radius based on the binocular strategy, estimate the spatial iris center using the calibrated iris radius, and then calibrate the cornea radius by a set of non-linear equations under the constraint of equivalent distances from the cornea center to the iris edge points. The calibrated cornea radius is verified by binocular optimization constraints. Simulations and physical experiments validate the effectiveness of the proposed method. The iris-based cornea radius calibration approach is novel; it can be used to obtain the cornea radius and 3D gaze using remote one-camera-one-light-source or one-camera-multi-light-source systems.","2169-3536","","10.1109/ACCESS.2020.3029300","Key Research and Development project (Institute of Psychology) of the Ministry of Science and Technology(grant numbers:2018YFC2001700); Fundamental Research Funds for the Central Universities(grant numbers:FRF-GF-20-04A); Scientific and Technological Innovation Foundation of Shunde Graduate School, USTB; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9215978","Cornea radius;corneal reflections;optimization constraints;3D line-of-sight estimation;gaze tracking;user calibration","Cornea;Three-dimensional displays;Gaze tracking;Estimation;Calibration;Cameras;Light sources","calibration;cameras;edge detection;eye;feature extraction;gaze tracking;iris recognition;optimisation;stereo image processing","remote 3D gaze tracking systems;cornea radius estimation;3D gaze estimation;single-camera 3D gaze tracking system;one-camera-one-light-source systems;one-camera-two-light-source systems;3D line-of-sight;cornea radius calibration method;calibrated iris radius;cornea center;calibrated cornea radius;iris-based cornea radius calibration approach;one-camera-multilight-source systems","","","","28","CCBY","7 Oct 2020","","","IEEE","IEEE Journals"
"End-to-end Off-angle Iris Recognition Using CNN Based Iris Segmentation","E. Jalilian; M. Karakaya; A. Uhl","University of Salzburg,Department of Computer Science,Salzburg,Austria; Kennesaw State University,Department of Computer Science,Georgia,USA; University of Salzburg,Department of Computer Science,Salzburg,Austria","2020 International Conference of the Biometrics Special Interest Group (BIOSIG)","2 Oct 2020","2020","","","1","7","While deep learning techniques are increasingly becoming a tool of choice for iris segmentation, yet there is no comprehensive recognition framework dedicated for off-angle iris recognition using such modules. In this work, we investigate the effect of different gaze-angles on the CNN based off-angle iris segmentations, and their recognition performance, introducing an improvement scheme to compensate for some segmentation degradations caused by the off-angle distortions. Also, we propose an off-angle parameterization algorithm to re-project the off-angle images back to frontal view. Taking benefit of these, we further investigate if: (i) improving the segmentation outputs and/or correcting the iris images before or after the segmentation, can compensate for off-angle distortions, or (ii) the generalization capability of the network can be improved, by training it on iris images of different gaze-angles. In each experimental step, segmentation accuracy and the recognition performance are evaluated, and the results are analyzed and compared.","1617-5468","978-3-88579-700-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9210983","Off-angle iris segmentation;Off-angle iris recognition;Iris parameterization;Convolutional neural network;CNN","Iris recognition;Image segmentation;Iris;Distortion;Training;Feature extraction;Task analysis","feature extraction;image recognition;image segmentation;iris recognition;neural nets","CNN based iris segmentation;deep learning techniques;comprehensive recognition framework;different gaze-angles;off-angle iris segmentations;recognition performance;segmentation degradations;off-angle distortions;off-angle parameterization algorithm;off-angle images;segmentation outputs;iris images;segmentation accuracy;end-to-end off-angle iris recognition","","","","16","","2 Oct 2020","","","IEEE","IEEE Conferences"
"A Generative Self-Ensemble Approach To Simulated+Unsupervised Learning","Y. Mitsuzum; G. Irie; A. Kimura; A. Nakazawa",NTT Corporation; NTT Corporation; NTT Corporation; Kyoto University,"2020 IEEE International Conference on Image Processing (ICIP)","30 Sep 2020","2020","","","2151","2155","In this paper, we consider Simulated and Unsupervised (S+U) learning which is a problem of learning from labeled synthetic and unlabeled real images. After translating the synthetic images to real ones, existing S+U learning methods use only the labeled synthetic images for training a predictor (e.g., a regression function) and ignore the target real images, which may result in unsatisfactory prediction performance. Our approach utilizes both synthetic and real images to train the predictor. The main idea of ours is to involve a self-ensemble learning framework into S+U learning. More specifically, we require the prediction results for an unlabeled real image to be consistent between “teacher” and “student” predictors, even after some perturbations are added to the image. Furthermore, aiming at generating diverse perturbations along the underlying data manifold, we introduce one-to-many image translation between synthetic and real images. Evaluation experiments on an appearance-based gaze estimation task demonstrate that the proposed ideas can improve the prediction accuracy and our full method can outperform existing S+U learning methods.","2381-8549","978-1-7281-6395-6","10.1109/ICIP40778.2020.9191100","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9191100","Simulated+Unsupervised Learning;SemiSupervised Learning;Image-to-Image Translation","Gallium nitride;Training;Task analysis;Estimation;Bidirectional control;Standards;Learning systems","image processing;regression analysis;unsupervised learning","generative self-ensemble approach;labeled synthetic images;unlabeled real images;target real images;student predictors;S+U learning;simulated+unsupervised learning;regression function;self-ensemble learning;teacher predictor;diverse perturbations;data manifold;one-to-many image translation;appearance-based gaze estimation","","","","15","","30 Sep 2020","","","IEEE","IEEE Conferences"
"Identifying Children with Autism Spectrum Disorder Based on Gaze-Following","Y. Fang; H. Duan; F. Shi; X. Min; G. Zhai","Institute of Image Communication and Network Engineering, Shanghai Jiao Tong University,Shanghai,China; Institute of Image Communication and Network Engineering, Shanghai Jiao Tong University,Shanghai,China; Institute of Image Communication and Network Engineering, Shanghai Jiao Tong University,Shanghai,China; Institute of Image Communication and Network Engineering, Shanghai Jiao Tong University,Shanghai,China; Institute of Image Communication and Network Engineering, Shanghai Jiao Tong University,Shanghai,China","2020 IEEE International Conference on Image Processing (ICIP)","30 Sep 2020","2020","","","423","427","This paper presents a novel method to identify children with Autism Spectrum Disorder (ASD) based on the stimuli with gaze-following. Individuals with ASD are characterized by having atypical visual attention patterns, especially in social scenes. Gaze-following is considered to be a key element in understanding social scenarios, and it is reasonable to use stimuli with gaze-following to identify the children with ASD. Thus in this paper, we first construct a dataset of eye movements in gaze-following scenes for children with ASD (i.e., GazeFollow4ASD dataset), including 300 images with gaze-following information inside them and the corresponding eye movement data collected from 8 children with ASD and 10 healthy controls. We propose a novel deep neural network (DNN) model to extract discriminative features and classify children with ASD and healthy controls on single images. The proposed model shows the best performance among all compared methods on all datasets.","2381-8549","978-1-7281-6395-6","10.1109/ICIP40778.2020.9190831","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9190831","Autism Spectrum Disorder identifying;visual attention;gaze-following;deep neural network","Pediatrics;Autism;Visualization;Neural networks;Psychology;Predictive models;Feature extraction","deep learning (artificial intelligence);eye;feature extraction;gaze tracking;image classification;medical disorders;medical image processing;neurophysiology;paediatrics","gaze following information;children with ASD;deep neural network;feature extraction;neurodevelopmental disorder;ASD diagnostic process;children classification;eye movement data;GazeFollow4ASD dataset;atypical visual attention patterns;autism spectrum disorder","","","","21","","30 Sep 2020","","","IEEE","IEEE Conferences"
"Unconstrained Periocular Recognition: Using Generative Deep Learning Frameworks for Attribute Normalization","L. A. Zanlorensi; H. Proença; D. Menotti","Federal University of Paraná,Department of Informatics,Curitiba,Brazil; University of Beira Interior,Department of Informatics,Covilhã,Portugal; Federal University of Paraná,Department of Informatics,Curitiba,Brazil","2020 IEEE International Conference on Image Processing (ICIP)","30 Sep 2020","2020","","","1361","1365","Ocular biometric systems working in unconstrained environments usually face the problem of small within-class compactness caused by the multiple factors that jointly degrade the quality of the obtained data. In this work, we propose an attribute normalization strategy based on deep learning generative frameworks, that reduces the variability of the samples used in pairwise comparisons, without reducing their discriminability. The proposed method can be seen as a preprocessing step that contributes for data regularization and improves the recognition accuracy, being fully agnostic to the recognition strategy used. As proof of concept, we consider the “eyeglasses” and “gaze” factors, comparing the levels of performance of five different recognition methods with/without using the proposed normalization strategy. Also, we introduce a new dataset for unconstrained periocular recognition, composed of images acquired by mobile devices, particularly suited to perceive the impact of “wearing eyeglasses” in recognition effectiveness. Our experiments were performed in two different datasets, and support the usefulness of our attribute normalization scheme to improve the recognition performance.","2381-8549","978-1-7281-6395-6","10.1109/ICIP40778.2020.9191251","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9191251","Periocular recognition;Biometrics;Attribute editing;Image normalization","Performance evaluation;Deep learning;Image recognition;Face recognition;Conferences;Mobile handsets","eye;face recognition;feature extraction;learning (artificial intelligence)","attribute normalization scheme;recognition performance;recognition effectiveness;different recognition methods;recognition strategy;recognition accuracy;data regularization;pairwise comparisons;deep learning generative frameworks;attribute normalization strategy;within-class compactness;unconstrained environments;ocular biometric systems;generative deep learning frameworks;unconstrained periocular recognition","","","","31","","30 Sep 2020","","","IEEE","IEEE Conferences"
"Predicting Human Errors from Gaze and Cursor Movements","R. Riad Saboundji; R. Adrian Rill","Eotvos Lorand University,Faculty of Informatics,Budapest,Hungary; Babes-Bolyai University,Faculty of Mathematics and Computer Science,Cluj-Napoca,Romania","2020 International Joint Conference on Neural Networks (IJCNN)","28 Sep 2020","2020","","","1","8","Intelligent interfaces are increasingly integrated into diverse technological areas. In complex high-risk environments, where humans represent a crucial part of the system and their attention is often divided between simultaneous activities, imminent human errors may have serious consequences. Enhancing interfaces with predictive capabilities promotes the safe and reliable operation of such systems. In this work, we employ a data-driven approach to predict human errors in a special divided attention task involving timing constraints and requiring focused concentration and frequent shifts of attention. We performed a longitudinal study with 10 subjects, and constructed time series from the experimental data using gaze movement and mouse cursor motion features in order to classify successful and failed actions. We evaluate classical machine learning algorithms, compare them with a more traditional temporal modeling approach and a deep learning based LSTM model. Employing a leave-one- subject-out cross-validation procedure we achieve a classification accuracy of up to 86%, with LSTM presenting the highest performance. Furthermore, we investigate the trade-off between evaluation metrics and anticipation window, i.e. the time remaining until the correct action can still be performed. We conclude that prediction is feasible and accuracy and F1-score increases, despite the training dataset becoming greatly imbalanced. Investigating the anticipation window allows to understand how far in advance human errors need to be predicted in order to initiate preventive measures. Our efforts have implications for the design of predictive interfaces involving decision making under time pressure in dynamic divided attention environments.","2161-4407","978-1-7281-6926-2","10.1109/IJCNN48605.2020.9207189","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9207189","human error;time series;LSTM;gaze tracking;anticipation window;predictive interface","Task analysis;Mice;Microsoft Windows;Time series analysis;History;Predictive models;Machine learning algorithms","decision making;learning (artificial intelligence);pattern classification;recurrent neural nets;time series;user interfaces","data-driven approach;special divided attention task;timing constraints;time series;gaze movement;mouse cursor motion features;traditional temporal modeling approach;deep learning;LSTM model;classification accuracy;evaluation metrics;anticipation window;F1-score;predictive interfaces;time pressure;dynamic divided attention environments;leave-one- subject-out cross-validation procedure","","","","47","","28 Sep 2020","","","IEEE","IEEE Conferences"
"A Neural Network-Based Driver Gaze Classification System with Vehicle Signals","S. Dari; N. Kadrileev; E. Hüllermeier","BMW Goup,Research and Development,Munich,Germany; Technical University Munich,Department of Electrical Engineering,Munich,Germany; Technical University Munich,Department of Electrical Engineering,Munich,Germany","2020 International Joint Conference on Neural Networks (IJCNN)","28 Sep 2020","2020","","","1","7","Driver monitoring can play an essential part in avoiding accidents by warning the driver and shifting the driver's attention to the traffic scenery in time during critical situations. This may apply for the different levels of automated driving, for take-over requests as well as for driving in manual mode. A great proxy for this purpose has always been the driver's gazing direction. The aim of this work is to introduce a robust gaze detection system. In this regard, we make several contributions that are novel in the area of gaze detection systems. In particular, we propose a deep learning approach to predict gaze regions, which is based on informative features such as eye landmarks and head pose angles of the driver. Moreover, we introduce different post-processing techniques that improve the accuracy by exploiting temporal information from videos and the availability of other vehicle signals. Last but not least, we confirm our method with a leave-one-driver-out cross-validation. Unlike previous studies, we do not use gazes to predict maneuver changes, but we consider the human-computer-interaction aspect and use vehicle signals to improve the performance of the estimation. The proposed system is able to achieve an accuracy of 92.3% outperforming earlier landmark-based gaze estimators.","2161-4407","978-1-7281-6926-2","10.1109/IJCNN48605.2020.9207709","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9207709","Driver Monitoring;Driver Gaze Estimation;Driver State Recognition;Driver distraction;Autonomous Driving;Naturalistic Driving Study","Vehicles;Faces;Videos;Training;Mirrors;Feature extraction","computer vision;driver information systems;eye;feature extraction;gaze tracking;learning (artificial intelligence);neural nets;pose estimation;road vehicles","neural network-based driver gaze classification system;driver monitoring;traffic scenery;critical situations;automated driving;robust gaze detection system;gaze detection systems;deep learning approach;gaze regions;post-processing techniques;leave-one-driver-out cross-validation;vehicle signals;landmark-based gaze estimators","","1","","20","","28 Sep 2020","","","IEEE","IEEE Conferences"
"Early Screening of Autism in Toddlers via Response-To-Instructions Protocol","J. Liu; Z. Wang; K. Xu; B. Ji; G. Zhang; Y. Wang; J. Deng; Q. Xu; X. Xu; H. Liu","State Key Laboratory of Mechanical System and Vibration, Shanghai Jiao Tong University, Shanghai 200240, China, and also with the State Key Laboratory of Robotics and Systems, Harbin Institute of Technology Shenzhen, Shenzhen 518055, China.; State Key Laboratory of Mechanical System and Vibration, Shanghai Jiao Tong University, Shanghai 200240, China, and also with the State Key Laboratory of Robotics and Systems, Harbin Institute of Technology Shenzhen, Shenzhen 518055, China.; State Key Laboratory of Mechanical System and Vibration, Shanghai Jiao Tong University, Shanghai 200240, China.; State Key Laboratory of Mechanical System and Vibration, Shanghai Jiao Tong University, Shanghai 200240, China.; School of Computing, University of Portsmouth, Portsmouth PO1 3HE, U.K.; Department of Child Health Care, Children's Hospital of Fudan University, Shanghai 201102, China.; Department of Child Health Care, Children's Hospital of Fudan University, Shanghai 201102, China.; Department of Child Health Care, Children's Hospital of Fudan University, Shanghai 201102, China.; Department of Child Health Care, Children's Hospital of Fudan University, Shanghai 201102, China (e-mail: xuxiu@fudan.edu.cn).; State Key Laboratory of Robotics and Systems, Harbin Institute of Technology Shenzhen, Shenzhen, China (e-mail: honghai.liu@icloud.com).","IEEE Transactions on Cybernetics","","2020","PP","99","1","11","Early screening of autism spectrum disorder (ASD) is crucial since early intervention evidently confirms significant improvement of functional social behavior in toddlers. This article attempts to bootstrap the response-to-instructions (RTIs) protocol with vision-based solutions in order to assist professional clinicians with an automatic autism diagnosis. The correlation between detected objects and toddler's emotional features, such as gaze, is constructed to analyze their autistic symptoms. Twenty toddlers between 16-32 months of age, 15 of whom diagnosed with ASD, participated in this study. The RTI method is validated against human codings, and group differences between ASD and typically developing (TD) toddlers are analyzed. The results suggest that the agreement between clinical diagnosis and the RTI method achieves 95% for all 20 subjects, which indicates vision-based solutions are highly feasible for automatic autistic diagnosis.","2168-2275","","10.1109/TCYB.2020.3017866","National Natural Science Foundation of China(grant numbers:61733011,51575338); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9204807","Autistic early screening;gaze estimation;social behavior disorder","Autism;Pediatrics;Protocols;Toy manufacturing industry;Computer vision;Cameras;Estimation","","","","","","","IEEE","23 Sep 2020","","","IEEE","IEEE Early Access Articles"
